sigma,gain,specification,moment,mean,monte_carlo_se,mean_ci_low,mean_ci_high,paired_difference_from_re,paired_ci_low,paired_ci_high,paired_draws,rms_path_distance_from_re
2,0.002,wage_proxy,sigma_y,1.80596641376208,0.00272246991302582,1.80063037273255,1.81130245479161,0.900979213747517,0.898104884827415,0.903636494854522,5000,2.03778604027625
2,0.002,wage_proxy,sigma_c_over_y,0.510197684445028,0.000165977995466255,0.509872367573914,0.510523001316142,-0.321489252515189,-0.321787190903007,-0.321177060965144,5000,2.03778604027625
2,0.002,wage_proxy,sigma_i_over_y,2.5036862340592,0.000405702143124568,2.50289105785868,2.50448141025973,1.0075779431937,1.00682158560587,1.00833051967037,5000,2.03778604027625
2,0.002,wage_proxy,sigma_h_over_y,0.932559605715489,0.000240280947747713,0.932088655057904,0.933030556373075,0.625672391993294,0.625239635943924,0.626117286186064,5000,2.03778604027625
2,0.002,wage_proxy,rho_dc,0.0235237323721194,0.00112050834426369,0.0213275360173625,0.0257199287268762,0.013614148903825,0.0134892392850099,0.0137406802978029,5000,2.03778604027625
2,0.002,wage_proxy,rho_dy,-0.0397912488847512,0.0010613103259828,-0.0418714171236775,-0.0377110806458249,-0.0410487808361006,-0.0414646760653321,-0.04066765466136,5000,2.03778604027625
2,0.002,wage_proxy,rho_di,-0.0556061184092394,0.00105572673010418,-0.0576753428002436,-0.0535368940182352,-0.0461377177907155,-0.0465561740726717,-0.0457144552180681,5000,2.03778604027625
2,0.002,wage_proxy,rho_wage_fe,0.0139469319260735,0.0011046415877526,0.0117818344140784,0.0161120294380686,0.0188966935374806,0.0186572431069917,0.0191385362129002,5000,2.03778604027625
2,0.002,paper,sigma_y,0.90393524585554,0.0013857566035941,0.901219162912495,0.906651328798584,-0.00105195415902468,-0.00118607551190576,-0.00091479106451651,5000,0.0262348535026311
2,0.002,paper,sigma_c_over_y,0.832397230440405,5.36005121851897e-05,0.832292173436522,0.832502287444288,0.000710293480187555,0.000606424047884318,0.000810721863151788,5000,0.0262348535026311
2,0.002,paper,sigma_i_over_y,1.49383542308401,0.000158093016543825,1.49352556077159,1.49414528539644,-0.00227286778148874,-0.0025683857426247,-0.00198507419533968,5000,0.0262348535026311
2,0.002,paper,sigma_h_over_y,0.305355251123342,9.77054594133957e-05,0.305163748422892,0.305546753823793,-0.00153196259885308,-0.00172584918106979,-0.0013487198217339,5000,0.0262348535026311
2,0.002,paper,rho_dc,0.0103153774302668,0.00111172413466785,0.0081363981263178,0.0124943567342158,0.000405793961972467,0.000397934965376547,0.000413356907907528,5000,0.0262348535026311
2,0.002,paper,rho_dy,0.00396784815654149,0.00109974629736084,0.00181234541371426,0.00612335089936873,0.00271031620519203,0.00268527181720565,0.00273387871697867,5000,0.0262348535026311
2,0.002,paper,rho_di,-0.0031514335516659,0.00108914574515624,-0.00528615921217214,-0.00101670789115966,0.00631696706685799,0.00626331685842984,0.00637368840896222,5000,0.0262348535026311
2,0.002,paper,rho_wage_fe,-0.00609631231115499,0.00109873789869703,-0.00824983859260117,-0.00394278602970881,-0.00114655069974788,-0.00127012068638773,-0.00102931812489316,5000,0.0262348535026311
2,0.04,RE,sigma_y,0.904987200014565,0.00138309385114314,0.902276336066324,0.907698063962806,0,0,0,5000,0
2,0.04,RE,sigma_c_over_y,0.831686936960217,2.2212951206113e-05,0.831643399575853,0.831730474344581,0,0,0,5000,0
2,0.04,RE,sigma_i_over_y,1.4961082908655,5.70554265639179e-05,1.49599646222943,1.49622011950156,0,0,0,5000,0
2,0.04,RE,sigma_h_over_y,0.306887213722195,2.99268981745646e-05,0.306828557001773,0.306945870442618,0,0,0,5000,0
2,0.04,RE,rho_dc,0.00990958346829432,0.00111090182280644,0.0077322158955937,0.0120869510409949,0,0,0,5000,0
2,0.04,RE,rho_dy,0.00125753195134946,0.00109764323621911,-0.000893848791639986,0.00340891269433892,0,0,0,5000,0
2,0.04,RE,rho_di,-0.00946840061852389,0.0010852397479701,-0.0115954705245453,-0.00734133071250249,0,0,0,5000,0
2,0.04,RE,rho_wage_fe,-0.00494976161140711,0.00109227855973992,-0.00709062758849736,-0.00280889563431686,0,0,0,5000,0
2,0.04,archive,sigma_y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
2,0.04,archive,sigma_c_over_y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
2,0.04,archive,sigma_i_over_y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
2,0.04,archive,sigma_h_over_y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
2,0.04,archive,rho_dc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
2,0.04,archive,rho_dy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
2,0.04,archive,rho_di,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
